title:test0826, start timestamp:1629975491.659043, stop timestamp:1629975591.327375, headset type:INSIGHT, headset serial:A2D2052F, headset firmware:932, channels:43, sampling rate:eeg_128;mot_64;mc_8, samples:12523     , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,MC.Action,MC.ActionPower,MC.IsActive
1629975491.775460,94.000000,0.000000,4294.871582,4252.307617,4182.563965,4204.615234,4199.487305,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,47.000000,0.000000,0.191176,-0.233398,0.690674,0.657227,0.596689,-0.826185,0.018555,-63.298428,-60.209400,47.259705,,,
1629975491.783174,95.000000,0.000000,4271.794922,4247.692383,4181.025879,4207.179688,4201.538574,16214.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
1629975491.790988,96.000000,0.000000,4210.769043,4245.128418,4181.538574,4214.358887,4211.794922,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,48.000000,0.000000,0.191176,-0.233398,0.690674,0.657227,0.602060,-0.824231,0.033204,-64.266060,-60.289627,47.259148,,,
1629975491.798703,97.000000,0.000000,4222.051270,4247.179688,4183.589844,4214.358887,4234.358887,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
1629975491.806517,98.000000,0.000000,4221.538574,4250.769043,4175.897461,4208.205078,4225.641113,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,49.000000,0.000000,0.191176,-0.233398,0.690674,0.657227,0.601572,-0.818372,0.017578,-65.077110,-60.302017,47.258644,,,
1629975491.814332,99.000000,0.000000,4238.974121,4254.358887,4181.538574,4205.128418,4197.948730,16214.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
1629975491.822046,100.000000,0.000000,4260.000000,4255.897461,4177.948730,4201.025879,4195.897461,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,50.000000,0.000000,0.191176,-0.233398,0.690674,0.657227,0.602548,-0.821790,0.020996,-62.457401,-60.313168,47.078751,,,
1629975491.829761,101.000000,0.000000,4209.743652,4255.384766,4166.666504,4192.307617,4197.948730,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
1629975491.837475,102.000000,0.000000,4230.256348,4250.256348,4165.641113,4186.666504,4234.871582,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,51.000000,0.000000,0.190877,-0.233643,0.690674,0.657227,0.608896,-0.815442,0.019043,-60.279106,-60.383018,47.036472,,,
1629975491.845290,103.000000,0.000000,4293.333496,4241.538574,4153.333496,4184.615234,4267.692383,16214.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
